"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.107406616E-2,4.483339118E1,-5.724770406E-1,1.777619553E1,6.467655829E1,NaN,NaN,1.116480909E-2,3.500000000E1,1.934686852E1,-1.000000000E0
4.462239742E-1,4.483347496E1,-5.725550799E-1,1.778451538E1,6.468494388E1,NaN,NaN,1.808447391E-2,3.500000000E1,2.333523941E1,-1.000000000E0
6.053016067E0,4.483344571E1,-5.724776260E-1,1.777080059E1,6.467116848E1,NaN,NaN,1.980379298E-2,3.500000000E1,2.123300362E1,-1.000000000E0
1.227297997E1,4.483343108E1,-5.724705505E-1,1.777437592E1,6.467473724E1,NaN,NaN,2.424221062E-2,3.500000000E1,2.090111351E1,-1.000000000E0
1.356131172E1,4.483344201E1,-5.725246837E-1,9.787136078E0,5.668753894E1,3.764853477E-1,NaN,2.994614134E-2,2.400000000E1,3.000000000E0,-1.000000000E0
1.456131625E1,4.483345526E1,-5.724548009E-1,9.789477539E0,5.668982914E1,4.310785830E-1,NaN,4.153837627E-2,2.400000000E1,3.000000000E0,-1.000000000E0
1.556132388E1,4.483347812E1,-5.723113713E-1,1.520235626E1,6.210260226E1,8.695031404E-1,NaN,4.372176877E-2,2.400362482E1,3.000000000E0,-1.000000000E0
1.656132817E1,4.483348367E1,-5.722848121E-1,1.545913600E1,6.235936257E1,8.695031404E-1,NaN,4.687344111E-2,2.400362482E1,3.000000000E0,-1.000000000E0
1.811433589E1,4.483351076E1,-5.722965506E-1,5.382442151E0,5.228267985E1,8.695031404E-1,NaN,4.821450612E-2,1.600241655E1,2.730544281E1,-1.000000000E0
1.911433971E1,4.483352073E1,-5.722869815E-1,1.543156402E1,6.233179540E1,1.174795553E-1,NaN,4.999087476E-2,1.600241655E1,3.000000000E0,-1.000000000E0
2.011434543E1,4.483352207E1,-5.722645341E-1,1.541203267E1,6.231224733E1,1.473562270E-1,NaN,5.104735693E-2,1.600241655E1,3.000000000E0,-1.000000000E0
2.111435080E1,4.483352936E1,-5.722559348E-1,1.538575168E1,6.228596053E1,2.112680227E-1,NaN,"",1.200181241E1,3.000000000E0,-1.000000000E0
