"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.102300644E-2,4.483329724E1,-5.722980614E-1,1.994209003E1,6.684231047E1,NaN,NaN,1.984325491E-2,3.500000000E1,1.253777218E1,-1.000000000E0
4.507910013E-1,4.483346734E1,-5.723741144E-1,1.985863113E1,6.675892326E1,NaN,NaN,3.492873007E-2,3.500000000E1,1.316647911E1,-1.000000000E0
6.005815029E0,4.483359671E1,-5.723165022E-1,1.943950462E1,6.633976469E1,NaN,NaN,4.484673334E-2,4.379364242E1,2.008002663E1,-1.000000000E0
1.200237203E1,4.483362990E1,-5.721997558E-1,1.890416431E1,6.580433970E1,NaN,NaN,5.636105118E-2,3.700000000E1,2.176003838E1,-1.000000000E0
1.800996101E1,4.483373160E1,-5.721722499E-1,1.853281212E1,6.543297565E1,NaN,NaN,7.706077424E-2,4.894324940E1,2.154166222E1,-1.000000000E0
2.404357600E1,4.483355218E1,-5.722422620E-1,1.842996311E1,6.533016367E1,NaN,NaN,8.142198320E-2,3.500000000E1,2.114731979E1,-1.000000000E0
2.547999704E1,4.483351301E1,-5.722395062E-1,1.838678169E1,6.528697681E1,NaN,NaN,9.742205537E-2,3.500000000E1,1.842714310E1,-1.000000000E0
3.107024205E1,4.483361141E1,-5.723875504E-1,1.832444572E1,6.522476034E1,NaN,NaN,1.024371634E-1,3.500000000E1,1.985479736E1,-1.000000000E0
3.709454703E1,4.483358379E1,-5.724378331E-1,1.832040405E1,6.522075399E1,NaN,NaN,1.131263318E-1,3.533333333E1,2.045441055E1,-1.000000000E0
4.310093498E1,4.483363239E1,-5.725547933E-1,1.825440502E1,6.515484685E1,NaN,NaN,1.383333254E-1,3.500000000E1,2.060473442E1,-1.000000000E0
4.800828600E1,4.483357920E1,-5.722440525E-1,1.534531606E1,6.224552029E1,6.858130097E-1,2.846332165E2,1.391423396E-1,2.831790591E1,3.000000000E0,-1.000000000E0
4.900827765E1,4.483357267E1,-5.722395342E-1,1.534326459E1,6.224346487E1,2.718618512E-1,2.514254925E2,1.402181368E-1,2.813578694E1,3.000000000E0,-1.000000000E0
5.000827014E1,4.483358179E1,-5.722440601E-1,1.534269552E1,6.224289998E1,6.476982683E-2,3.120224937E2,1.423860701E-1,2.786680437E1,3.000000000E0,-1.000000000E0
5.100826252E1,4.483360077E1,-5.722503853E-1,1.534234336E1,6.224255420E1,1.993349344E-1,3.331790319E2,1.436674851E-1,2.500000000E1,3.000000000E0,-1.000000000E0
5.200825453E1,4.483361174E1,-5.722454264E-1,1.533823977E1,6.223844783E1,4.342814088E-1,1.507944918E1,1.481189943E-1,2.500000000E1,3.000000000E0,-1.000000000E0
5.300824678E1,4.483364365E1,-5.722113287E-1,1.533443051E1,6.223461576E1,8.414508104E-1,3.599471717E2,1.505246848E-1,2.500000000E1,3.000000000E0,-1.000000000E0
5.400823975E1,4.483366283E1,-5.721972161E-1,1.533404959E1,6.223422591E1,8.414508104E-1,3.086546093E2,1.528328990E-1,2.500000000E1,3.000000000E0,-1.000000000E0
5.500823176E1,4.483368327E1,-5.722023310E-1,1.533401150E1,6.223419341E1,1.289294720E0,3.338442104E2,1.564211046E-1,2.500000000E1,3.000000000E0,-1.000000000E0
5.600822401E1,4.483371442E1,-5.722142118E-1,7.042054225E1,1.173207358E2,1.289294720E0,3.557266612E2,1.579762042E-1,2.500000000E1,2.305648613E1,-1.000000000E0
5.700821698E1,4.483372666E1,-5.722046835E-1,6.973430747E1,1.166344949E2,6.069468260E-1,1.865024646E1,1.598461708E-1,2.500000000E1,2.643148041E1,-1.000000000E0
5.800820899E1,4.483373976E1,-5.721898017E-1,6.921019352E1,1.161103709E2,6.069468260E-1,1.519636494E1,1.615293449E-1,2.500000000E1,2.736548042E1,-1.000000000E0
5.900820088E1,4.483374847E1,-5.721723504E-1,6.935942565E1,1.162595907E2,6.069468260E-1,3.530495276E2,1.632198570E-1,2.500000000E1,3.112127113E1,-1.000000000E0
6.000819349E1,4.483375871E1,-5.721565068E-1,6.962913610E1,1.165292902E2,8.487929106E-1,3.339175120E2,1.642798422E-1,2.500000000E1,2.819783783E1,-1.000000000E0
6.100818598E1,4.483376620E1,-5.721481850E-1,6.933485094E1,1.162349994E2,1.017878532E0,3.465068620E2,1.654900226E-1,2.500000000E1,2.867779922E1,-1.000000000E0
6.200817871E1,4.483377630E1,-5.721424489E-1,2.608193050E1,7.298207554E1,1.221111894E0,9.550325881E-1,1.666094830E-1,2.500000000E1,5.058424950E0,-1.000000000E0
6.300817072E1,4.483378495E1,-5.721351906E-1,3.455950988E1,8.145965022E1,1.221111894E0,3.574590157E2,1.678533590E-1,2.500000000E1,4.770061970E0,-1.000000000E0
6.400816369E1,4.483379613E1,-5.721347202E-1,4.116089563E1,8.806103658E1,1.139566302E0,3.426102118E2,1.683432148E-1,2.500000000E1,4.806995392E0,-1.000000000E0
6.500815558E1,4.483380053E1,-5.721346247E-1,4.623206692E1,9.313220818E1,1.139566302E0,2.331675635E1,1.699524307E-1,2.500000000E1,5.352177620E0,-1.000000000E0
6.600814807E1,4.483381493E1,-5.721324875E-1,5.006330604E1,9.696344694E1,1.368877172E0,1.462413681E1,1.713527098E-1,2.500000000E1,5.290707588E0,-1.000000000E0
6.700814080E1,4.483382665E1,-5.721259864E-1,5.287582406E1,9.977596110E1,1.504678845E0,2.058245575E1,1.734871087E-1,2.501795856E1,4.797808647E0,-1.000000000E0
6.800813246E1,4.483384406E1,-5.721146029E-1,5.497841584E1,1.018785458E2,2.014872074E0,2.476804349E1,1.759880140E-1,2.500000000E1,4.787648678E0,-1.000000000E0
